Kurs Jual,Kurs Beli,Tanggal
11866.36,11742.78,1/2/2012 12:00:00 AM
11948.47,11827.24,1/3/2012 12:00:00 AM
12037.16,11914.39,1/4/2012 12:00:00 AM
11905.4,11781.9,1/5/2012 12:00:00 AM
11780.92,11661.36,1/6/2012 12:00:00 AM
11717.02,11599.37,1/9/2012 12:00:00 AM
11798.07,11676.89,1/10/2012 12:00:00 AM
11787.73,11665.86,1/11/2012 12:00:00 AM
11777.33,11658.44,1/12/2012 12:00:00 AM
11827.73,11708.87,1/13/2012 12:00:00 AM
11663.64,11545.45,1/16/2012 12:00:00 AM
11765.54,11647.65,1/17/2012 12:00:00 AM
11761.59,11643.14,1/18/2012 12:00:00 AM
11725.58,11608.07,1/19/2012 12:00:00 AM
11664,11545.58,1/20/2012 12:00:00 AM
11737.19,11616.64,1/24/2012 12:00:00 AM
11812.71,11694.51,1/25/2012 12:00:00 AM
11850.54,11728.98,1/26/2012 12:00:00 AM
11823.65,11703.96,1/27/2012 12:00:00 AM
11906.06,11786.5,1/30/2012 12:00:00 AM
11914.07,11791.05,1/31/2012 12:00:00 AM
11853.29,11733.84,2/1/2012 12:00:00 AM
11778.54,11660.78,2/2/2012 12:00:00 AM
11872.23,11752.25,2/3/2012 12:00:00 AM
11822.39,11702.81,2/6/2012 12:00:00 AM
11862.61,11741.86,2/7/2012 12:00:00 AM
11966.02,11845.9,2/8/2012 12:00:00 AM
11871.64,11747.9,2/9/2012 12:00:00 AM
12002.46,11879.36,2/10/2012 12:00:00 AM
12001.5,11878.79,2/13/2012 12:00:00 AM
11957.36,11835.27,2/14/2012 12:00:00 AM
11954.04,11833.82,2/15/2012 12:00:00 AM
11767.37,11649.32,2/16/2012 12:00:00 AM
11912.85,11793.78,2/17/2012 12:00:00 AM
11996.5,11876.69,2/20/2012 12:00:00 AM
11996.07,11873.7,2/21/2012 12:00:00 AM
12040.95,11921.02,2/22/2012 12:00:00 AM
12079.2,11958.13,2/23/2012 12:00:00 AM
12189.49,12066.43,2/24/2012 12:00:00 AM
12322.14,12194.71,2/27/2012 12:00:00 AM
12347.17,12220.1,2/28/2012 12:00:00 AM
12308.15,12182.3,2/29/2012 12:00:00 AM
12195.85,12073.99,3/1/2012 12:00:00 AM
12195.87,12072.4,3/2/2012 12:00:00 AM
12119.66,11993.61,3/5/2012 12:00:00 AM
12177.06,12050.85,3/6/2012 12:00:00 AM
12142.57,12017.04,3/7/2012 12:00:00 AM
12103.39,11981.56,3/8/2012 12:00:00 AM
12181.45,12057.54,3/9/2012 12:00:00 AM
12056.18,11932.05,3/12/2012 12:00:00 AM
12144.7,12022.49,3/13/2012 12:00:00 AM
12069.83,11947.81,3/14/2012 12:00:00 AM
12041.19,11919.46,3/15/2012 12:00:00 AM
12071.45,11950.14,3/16/2012 12:00:00 AM
12131.15,12007.29,3/19/2012 12:00:00 AM
12182.3,12058.73,3/20/2012 12:00:00 AM
12243.82,12119.9,3/21/2012 12:00:00 AM
12199.5,12073.2,3/22/2012 12:00:00 AM
12242.38,12118.49,3/26/2012 12:00:00 AM
12330.16,12206.4,3/27/2012 12:00:00 AM
12298.26,12173.8,3/28/2012 12:00:00 AM
12300.61,12175.32,3/29/2012 12:00:00 AM
12321.32,12196.63,3/30/2012 12:00:00 AM
12288.49,12162.99,4/2/2012 12:00:00 AM
12265.39,12138.98,4/3/2012 12:00:00 AM
12147.44,12025.11,4/4/2012 12:00:00 AM
12104.58,11980.86,4/5/2012 12:00:00 AM
12032.56,11910.6,4/9/2012 12:00:00 AM
12103.25,11980.54,4/10/2012 12:00:00 AM
12067.43,11944.23,4/11/2012 12:00:00 AM
12092.56,11969.15,4/12/2012 12:00:00 AM
12151.04,12027.05,4/13/2012 12:00:00 AM
12007.75,11886.09,4/16/2012 12:00:00 AM
12092.66,11970.23,4/17/2012 12:00:00 AM
12095.96,11974.39,4/18/2012 12:00:00 AM
12108.98,11986.43,4/19/2012 12:00:00 AM
12127.3,12004.59,4/20/2012 12:00:00 AM
12178.99,12053.94,4/23/2012 12:00:00 AM
12155.75,12032.88,4/24/2012 12:00:00 AM
12195.88,12072.62,4/25/2012 12:00:00 AM
12216.46,12090.2,4/26/2012 12:00:00 AM
12187.83,12064.59,4/27/2012 12:00:00 AM
12232.16,12105.74,4/30/2012 12:00:00 AM
12236.13,12111.54,5/1/2012 12:00:00 AM
12221.35,12097.82,5/2/2012 12:00:00 AM
12151.38,12028.59,5/3/2012 12:00:00 AM
12190.5,12067.6,5/4/2012 12:00:00 AM
12032.83,11908.83,5/7/2012 12:00:00 AM
12077.3,11955.56,5/8/2012 12:00:00 AM
12029.12,11907.92,5/9/2012 12:00:00 AM
12036.29,11915.3,5/10/2012 12:00:00 AM
11922.76,11800.21,5/11/2012 12:00:00 AM
11940.17,11819.78,5/14/2012 12:00:00 AM
11947.88,11827.98,5/15/2012 12:00:00 AM
11869.2,11751.19,5/16/2012 12:00:00 AM
11920.06,11801.39,5/21/2012 12:00:00 AM
11909.7,11791.1,5/22/2012 12:00:00 AM
11813.44,11695.91,5/23/2012 12:00:00 AM
11721.85,11604.37,5/24/2012 12:00:00 AM
11732.74,11613.95,5/25/2012 12:00:00 AM
11926.2,11803.15,5/28/2012 12:00:00 AM
11931.07,11808.57,5/29/2012 12:00:00 AM
11988.84,11865.36,5/30/2012 12:00:00 AM
11893.2,11772.53,5/31/2012 12:00:00 AM
11578.67,11458.92,6/1/2012 12:00:00 AM
11788.6,11668.31,6/4/2012 12:00:00 AM
11919.83,11798.25,6/5/2012 12:00:00 AM
11881.44,11761.2,6/6/2012 12:00:00 AM
11844.4,11724.36,6/7/2012 12:00:00 AM
11866.12,11747.52,6/8/2012 12:00:00 AM
11974.19,11854.52,6/11/2012 12:00:00 AM
