Kurs Jual,Kurs Beli,Tanggal
7070.93,6998.38,1/2/2012 12:00:00 AM
7125.39,7048.72,1/3/2012 12:00:00 AM
7170.28,7096.57,1/4/2012 12:00:00 AM
7151.51,7078.42,1/5/2012 12:00:00 AM
7124.28,7052.54,1/6/2012 12:00:00 AM
7108.55,7035.55,1/9/2012 12:00:00 AM
7154.14,7080.14,1/10/2012 12:00:00 AM
7150.81,7076.92,1/11/2012 12:00:00 AM
7161.32,7089.04,1/12/2012 12:00:00 AM
7161.93,7089.41,1/13/2012 12:00:00 AM
7138.1,7064.15,1/16/2012 12:00:00 AM
7189.81,7115.56,1/17/2012 12:00:00 AM
7179.29,7106.43,1/18/2012 12:00:00 AM
7138.94,7065.73,1/19/2012 12:00:00 AM
7074.92,6998.66,1/20/2012 12:00:00 AM
7120.89,7045.47,1/24/2012 12:00:00 AM
7162.73,7086,1/25/2012 12:00:00 AM
7184.3,7107.12,1/26/2012 12:00:00 AM
7178.65,7104.8,1/27/2012 12:00:00 AM
7200.38,7126.35,1/30/2012 12:00:00 AM
7213.49,7138.87,1/31/2012 12:00:00 AM
7226.43,7149.57,2/1/2012 12:00:00 AM
7169.45,7092.59,2/2/2012 12:00:00 AM
7247.07,7169.18,2/3/2012 12:00:00 AM
7254.26,7176.79,2/6/2012 12:00:00 AM
7245.99,7170.43,2/7/2012 12:00:00 AM
7265.34,7191.22,2/8/2012 12:00:00 AM
7191.04,7113.05,2/9/2012 12:00:00 AM
7226.35,7148.68,2/10/2012 12:00:00 AM
7220.32,7145.81,2/13/2012 12:00:00 AM
7206.79,7134.81,2/14/2012 12:00:00 AM
7209.17,7136.62,2/15/2012 12:00:00 AM
7133.28,7056.69,2/16/2012 12:00:00 AM
7193.37,7120.32,2/17/2012 12:00:00 AM
7248.34,7174.21,2/20/2012 12:00:00 AM
7235.53,7161.61,2/21/2012 12:00:00 AM
7232.86,7155.67,2/22/2012 12:00:00 AM
7238.72,7161.56,2/23/2012 12:00:00 AM
7272.22,7197.54,2/24/2012 12:00:00 AM
7285.17,7206.23,2/27/2012 12:00:00 AM
7339.13,7259.98,2/28/2012 12:00:00 AM
7326.27,7248.24,2/29/2012 12:00:00 AM
7310.89,7238.35,3/1/2012 12:00:00 AM
7340.23,7260.64,3/2/2012 12:00:00 AM
7313.88,7235.36,3/5/2012 12:00:00 AM
