Kurs Jual,Kurs Beli,Tanggal
9171,9079,1/2/2012 12:00:00 AM
9206,9114,1/3/2012 12:00:00 AM
9226,9134,1/4/2012 12:00:00 AM
9209,9117,1/5/2012 12:00:00 AM
9206,9114,1/6/2012 12:00:00 AM
9234,9142,1/9/2012 12:00:00 AM
9236,9144,1/10/2012 12:00:00 AM
9246,9154,1/11/2012 12:00:00 AM
9256,9164,1/12/2012 12:00:00 AM
9226,9134,1/13/2012 12:00:00 AM
9221,9129,1/16/2012 12:00:00 AM
9254,9162,1/17/2012 12:00:00 AM
9206,9114,1/18/2012 12:00:00 AM
9120,9030,1/19/2012 12:00:00 AM
9000,8910,1/20/2012 12:00:00 AM
9030,8940,1/24/2012 12:00:00 AM
9063,8973,1/25/2012 12:00:00 AM
9040,8950,1/26/2012 12:00:00 AM
9025,8935,1/27/2012 12:00:00 AM
9030,8940,1/30/2012 12:00:00 AM
9045,8955,1/31/2012 12:00:00 AM
9067,8977,2/1/2012 12:00:00 AM
8936,8848,2/2/2012 12:00:00 AM
9040,8950,2/3/2012 12:00:00 AM
9033,8943,2/6/2012 12:00:00 AM
9043,8953,2/7/2012 12:00:00 AM
9033,8943,2/8/2012 12:00:00 AM
8955,8865,2/9/2012 12:00:00 AM
9038,8948,2/10/2012 12:00:00 AM
9068,8978,2/13/2012 12:00:00 AM
9082,8992,2/14/2012 12:00:00 AM
9085,8995,2/15/2012 12:00:00 AM
9040,8950,2/16/2012 12:00:00 AM
9073,8983,2/17/2012 12:00:00 AM
9080,8990,2/20/2012 12:00:00 AM
9090,9000,2/21/2012 12:00:00 AM
9104,9014,2/22/2012 12:00:00 AM
9115,9025,2/23/2012 12:00:00 AM
9115,9025,2/24/2012 12:00:00 AM
9156,9064,2/27/2012 12:00:00 AM
9204,9112,2/28/2012 12:00:00 AM
9130,9040,2/29/2012 12:00:00 AM
9143,9053,3/1/2012 12:00:00 AM
9154,9062,3/2/2012 12:00:00 AM
9176,9084,3/5/2012 12:00:00 AM
9209,9117,3/6/2012 12:00:00 AM
9236,9144,3/7/2012 12:00:00 AM
9209,9117,3/8/2012 12:00:00 AM
9179,9087,3/9/2012 12:00:00 AM
9206,9114,3/12/2012 12:00:00 AM
9211,9119,3/13/2012 12:00:00 AM
9239,9147,3/14/2012 12:00:00 AM
9239,9147,3/15/2012 12:00:00 AM
9224,9132,3/16/2012 12:00:00 AM
9214,9122,3/19/2012 12:00:00 AM
9206,9114,3/20/2012 12:00:00 AM
9226,9134,3/21/2012 12:00:00 AM
9219,9127,3/22/2012 12:00:00 AM
9227,9135,3/26/2012 12:00:00 AM
9234,9142,3/27/2012 12:00:00 AM
9226,9134,3/28/2012 12:00:00 AM
9234,9142,3/29/2012 12:00:00 AM
9226,9134,3/30/2012 12:00:00 AM
9209,9117,4/2/2012 12:00:00 AM
9191,9099,4/3/2012 12:00:00 AM
9204,9112,4/4/2012 12:00:00 AM
9205,9113,4/5/2012 12:00:00 AM
9214,9122,4/9/2012 12:00:00 AM
9211,9119,4/10/2012 12:00:00 AM
9216,9124,4/11/2012 12:00:00 AM
9219,9127,4/12/2012 12:00:00 AM
9220,9128,4/13/2012 12:00:00 AM
9219,9127,4/16/2012 12:00:00 AM
9224,9132,4/17/2012 12:00:00 AM
9223,9131,4/18/2012 12:00:00 AM
9228,9136,4/19/2012 12:00:00 AM
9230,9138,4/20/2012 12:00:00 AM
9230,9138,4/23/2012 12:00:00 AM
9239,9147,4/24/2012 12:00:00 AM
9240,9148,4/25/2012 12:00:00 AM
9236,9144,4/26/2012 12:00:00 AM
9236,9144,4/27/2012 12:00:00 AM
9236,9144,4/30/2012 12:00:00 AM
9239,9147,5/1/2012 12:00:00 AM
9239,9147,5/2/2012 12:00:00 AM
9242,9150,5/3/2012 12:00:00 AM
9264,9172,5/4/2012 12:00:00 AM
9271,9179,5/7/2012 12:00:00 AM
9266,9174,5/8/2012 12:00:00 AM
9271,9179,5/9/2012 12:00:00 AM
9293,9201,5/10/2012 12:00:00 AM
9226,9134,5/11/2012 12:00:00 AM
9266,9174,5/14/2012 12:00:00 AM
9311,9219,5/15/2012 12:00:00 AM
9326,9234,5/16/2012 12:00:00 AM
9314,9222,5/21/2012 12:00:00 AM
9311,9219,5/22/2012 12:00:00 AM
9321,9229,5/23/2012 12:00:00 AM
9326,9234,5/24/2012 12:00:00 AM
9357,9263,5/25/2012 12:00:00 AM
9472,9378,5/28/2012 12:00:00 AM
9522,9428,5/29/2012 12:00:00 AM
9618,9522,5/30/2012 12:00:00 AM
9613,9517,5/31/2012 12:00:00 AM
9380,9286,6/1/2012 12:00:00 AM
9510,9416,6/4/2012 12:00:00 AM
9510,9416,6/5/2012 12:00:00 AM
9512,9418,6/6/2012 12:00:00 AM
9422,9328,6/7/2012 12:00:00 AM
9480,9386,6/8/2012 12:00:00 AM
9480,9386,6/11/2012 12:00:00 AM
9495,9401,6/12/2012 12:00:00 AM
9502,9408,6/13/2012 12:00:00 AM
9515,9421,6/14/2012 12:00:00 AM
9515,9421,6/15/2012 12:00:00 AM
9485,9391,6/18/2012 12:00:00 AM
9485,9391,6/19/2012 12:00:00 AM
9510,9416,6/20/2012 12:00:00 AM
9520,9426,6/21/2012 12:00:00 AM
9520,9426,6/22/2012 12:00:00 AM
9527,9433,6/25/2012 12:00:00 AM
9517,9423,6/26/2012 12:00:00 AM
9522,9428,6/27/2012 12:00:00 AM
9527,9433,6/28/2012 12:00:00 AM
9527,9433,6/29/2012 12:00:00 AM
9448,9354,7/2/2012 12:00:00 AM
9475,9381,7/3/2012 12:00:00 AM
9412,9318,7/4/2012 12:00:00 AM
9430,9336,7/5/2012 12:00:00 AM
9450,9356,7/6/2012 12:00:00 AM
9485,9391,7/9/2012 12:00:00 AM
9490,9396,7/10/2012 12:00:00 AM
9507,9413,7/11/2012 12:00:00 AM
9509,9415,7/12/2012 12:00:00 AM
9527,9433,7/13/2012 12:00:00 AM
9525,9431,7/16/2012 12:00:00 AM
9521,9427,7/17/2012 12:00:00 AM
9510,9416,7/18/2012 12:00:00 AM
9517,9423,7/19/2012 12:00:00 AM
9525,9431,7/20/2012 12:00:00 AM
9540,9446,7/23/2012 12:00:00 AM
9535,9441,7/24/2012 12:00:00 AM
9537,9443,7/25/2012 12:00:00 AM
9540,9446,7/26/2012 12:00:00 AM
9532,9438,7/27/2012 12:00:00 AM
9532,9438,7/30/2012 12:00:00 AM
9532,9438,7/31/2012 12:00:00 AM
9515,9421,8/1/2012 12:00:00 AM
9526,9432,8/2/2012 12:00:00 AM
9532,9438,8/3/2012 12:00:00 AM
9508,9414,8/6/2012 12:00:00 AM
9519,9425,8/7/2012 12:00:00 AM
